track_id,mean_speed,speed_cv,turning_rate,directionality_R,fast_ratio,
1,1.214195698,0.68731981,0.452702703,0.386893239,0.187919463,video_01
3,0.957912951,2.275195148,0.101694915,0.698401921,0.066666667,video_01
7,0.88015687,0.578558039,0.325925926,0.823216378,0.544117647,video_02
13,1.075358459,0.65085057,0.166666667,0.768197222,0.326530612,video_02
54,1.395932286,0.471125868,0.090909091,0.922710344,0.647058824,video_02
62,0.768499182,0.705739817,0.064516129,0.987918331,0.9375,video_02
74,0.313768936,0.37690888,0.058823529,0.92026813,0.885714286,video_03
109,0.75654823,0.516913666,0.137931034,0.72933384,0.066666667,video_03
130,1.099413069,0.163844749,0.727272727,0.782551765,0,video_03
142,0.231463632,1.239919635,0.262711864,0.646830872,0.487394958,video_03
164,1.407063707,0.647201978,0.11827957,0.842534684,0.563829787,video_03
165,1.387417634,0.66863758,0.304964539,0.601014567,0.416961131,video_04
200,2.014160906,0.419922068,0.224137931,0.867242797,0.745762712,video_04
201,0.748460644,0.861267229,0.303964758,0.68389424,0.469298246,video_04
207,0.848703034,0.861008611,0,0.963468239,0.035714286,video_04
257,0.398092109,0.280532969,0.060606061,0.936065966,0.411764706,video_04
284,1.162978378,2.006768629,0.211382114,0.545400571,0.733870968,video_05
287,1.627805752,0.713444549,0.150684932,0.839123027,0.608108108,video_05
366,1.177708129,0.258553205,0.0625,0.961942751,0.606060606,video_05
368,1.292950828,0.654939934,0.045431915,0.260147795,0.145833333,video_05
42,0.526561824,0.705739817,0.53546129,0.987918331,0.9375,video_05
44,1.313768936,0.87690888,0.034345294,0.92026813,0.885714286,video_06
59,0.635422979,0.516913666,0.137931034,0.72933384,0.066666667,video_06
132,1.099413069,0.863844749,0.727272727,0.782551765,0,video_06
152,0.231463632,1.239919635,0.364354678,0.630456719,0.487394958,video_06
154,1.366576707,0.647201978,0.11827957,0.842534684,0.563829787,video_07
168,1.387417634,0.89863758,0.365439007,0.634546726,0.445452605,video_07
210,0.414160906,0.419922068,0.234623448,0.867242797,0.754565864,video_07
211,1.148460644,0.861267229,0.31325251,0.604545459,0.476551404,video_07
217,0.854650303,0.186100861,0,0.94543656,0.035714286,video_08
267,2.954664903,0.280532969,0.060606061,0.934496623,0.411764706,video_08
294,1.454547799,2.006768629,0.226534821,0.53254692,0.733870968,video_08
287,2.763505752,0.713444549,0.145460685,0.8345463,0.634546511,video_08
376,1.495476437,0.258553205,0.0625,0.845648528,0.67645656,video_08
388,1.023452797,0.654939934,0.404255319,0.260147795,0.457645653,video_08
,,,,,,
,1.126518136,0.747695677,0.21718351,0.75769651,0.470127065,
,0.601214716,0.493420017,0.185558691,0.192763742,0.28512344,
