track_id,mean_speed,speed_cv,turning_rate,directionality_R,fast_ratio,
31,2.390171527,0.138075231,0,0.993368602,0.96,video_01
42,0.490964647,0.315457071,0,0.938838027,0.34375,video_01
67,0.562334506,1.166605916,0.476190476,0.665511542,0.139534884,video_01
74,0.728839089,0.330272191,0.044444444,0.926069508,0.369565217,video_02
134,2.678001215,0.235012969,0,0.984434394,1,video_02
136,0.832053036,0.163015243,0,0.974011497,1,video_03
150,2.389845256,0.231761086,0.268292683,0.795908144,0.119047619,video_03
232,0.695335591,0.621476364,0.741935484,0.94395585,0.21875,video_03
259,0.117512165,0.192142711,0,0.989574058,0.967741935,video_04
292,0.887230939,1.532087971,0.439655172,0.245037766,0.017094017,video_04
322,1.160705728,0.428001948,0.261904762,0.489236536,0.058823529,video_04
365,1.073007068,0.407733092,0.03030303,0.959655871,0.117647059,video_05
369,1.14220289,0.426888652,0,0.961115902,0,video_05
402,0.604416433,2.545762908,0.231707317,0.398525211,0,video_05
444,0.782246962,0.471294537,0.036363636,0.96188946,0.964285714,video_06
468,0.738066271,1.068745994,0.673913043,0.296659111,0.021276596,video_06
511,1.992658648,0.256842184,0,0.982731517,0.580645161,video_06
518,0.889006999,0.161885447,0,0.995433478,0.976744186,video_06
153,0.38343249,0.231761086,0.268292683,0.795908144,0.119047619,video_07
132,0.633545559,0.621476364,0.741935484,0.94395585,0.223534,video_07
209,0.153434721,0.192142711,0,0.989574058,0.967741935,video_07
252,0.846435869,1.532087971,0.439655172,0.245037766,0.024354349,video_08
302,1.160705728,0.428001948,0.261904762,0.489236536,0.058823529,video_08
265,1.073007068,0.407733092,0.03030303,0.959655871,0.134352347,video_08
,,,,,,
,1.016881683,0.587761029,0.206116716,0.788555196,0.390948321,
,0.682618222,0.584069467,0.254421783,0.26893808,0.405828499,
