track_id,mean_speed,speed_cv,turning_rate,directionality_R,fast_ratio,
2,0.9717658,0.8984288,0.196078431,0.673335404,0.034738564,video_01
32,0.98032477,0.689514763,0.242105263,0.449726651,0.051041667,video_01
45,0.8034972,0.510638244,0.125,0.891195026,0.085365854,video_02
57,0.827053263,0.608989334,0.294520548,0.53986022,0.068707483,video_02
78,0.60130529,0.040116722,0.319148936,0.520642531,0.030526316,video_02
93,1.71040818,0.528464869,0.341176471,0.37598783,0.059302326,video_03
129,0.770196453,0.065480557,0.4329375,0.999409941,0,video_03
2,0.817658005,0.898434343,0.196078431,0.673335404,0.078846154,video_03
32,0.945445454,0.634544351,0.242105263,0.449726651,0.051041667,video_04
45,0.956572004,0.510638244,0.125,0.891195026,0.085365854,video_04
57,1.454434597,0.645454364,0.294520548,0.53986022,0.068707483,video_05
78,0.634545687,1.040116722,0.319148936,0.520642531,0.030526316,video_05
93,1.834673453,0.543434435,0.341176471,0.37598783,0.059302326,video_06
129,0.783463755,0.146435458,0.34925794,0.999409941,0,video_06
57,1.653624634,0.353434445,0.294520548,0.53986022,0.068707483,video_07
78,0.654544566,0.040116722,0.319148936,0.520642531,0.030526316,video_07
93,0.746564523,0.435454516,0.341176471,0.37598783,0.059302326,video_08
129,0.735654555,0.165480557,0.4234857,0.999409941,0,video_08
129,0.54435549,0.165345452,0.344357,0.999409941,0,video_08
,,,,,,
,0.969794088,0.469501205,0.2916286,0.649243456,0.045368849,
,0.392912936,0.304400118,0.085574226,0.235447179,0.029447079,
