track_id,mean_speed,speed_cv,turning_rate,directionality_R,fast_ratio,Video
1,0.489985766,0.666693806,0.15625,0.838854757,0.753846154,video_01
4,0.658031788,0.46679876,0.04,0.950340671,0.921052632,video_01
10,0.712337395,0.243214751,0.033333333,0.970415231,0.967741935,video_01
44,0.296103897,0.15243942,0,0.955436139,0.636363636,video_01
50,1.146046543,1.702995156,0.244680851,0.813088628,0.736842105,video_02
80,0.810634799,0.493080141,0.291666667,0.882273471,0.690721649,video_02
83,1.499201107,1.29698272,0.189189189,0.33361493,0.776785714,video_02
87,1.83864387,1.29698272,0.1454549,0.33361493,0.874676786,video_02
98,0.847974948,1.493934505,0.388429752,0.151885915,0.43442623,video_03
101,1.84434361,0.161578958,0,0.998477282,0.96969697,video_03
104,0.847974948,1.493934505,0.445884298,0.151885915,0.43442623,video_03
107,1.84434361,0.161578958,0,0.998477282,0.96969697,video_03
109,1.343361,0.161578958,0,0.3434323,0.96969697,video_03
112,1.905113553,2.757369151,0.25,0.323097053,0.540983607,video_04
113,1.793500183,1.729975924,0.325153374,0.664985836,0.670731707,video_04
115,1.264139577,0.981953052,0.0574654,0.852936115,0.890909091,video_04
106,1.643453,0.981953052,0.0584584,0.9765454,0.890909091,video_04
117,1.796644561,0.164008115,0,0.99688162,1,video_05
125,1.20587028,0.313935268,0.078431373,0.891581076,0.884615385,video_05
127,1.306460547,0.566508244,0.239130435,0.975673328,0.744680851,video_05
128,1.297480905,0.705698079,0.071428571,0.929100971,0.906976744,video_05
131,1.3435462,0.705698079,0.065428571,0.86453445,0.906976744,video_05
132,1.158296704,0.267570194,0.05,0.945864565,0.951219512,video_06
133,1.234832115,1.140915279,0.038564856,0.860502634,0.864864865,video_06
134,1.343432,1.140915279,0.09657561,0.7367454,0.945748565,video_06
136,1.158296704,0.267570194,0.05,0.945864565,0.951219512,video_07
137,1.165345,0.434357019,0.05,0.73454355,0.74656352,video_07
138,1.158296704,0.267570194,0.05,0.945864565,0.343344312,video_07
139,1.543483212,1.140915279,0.0858711,0.860502634,0.864864865,video_08
122,1.14543704,0.267570194,0.05,0.93475475,0.951219512,video_08
125,1.234832115,1.140915279,0.6565111,0.860502634,0.864864865,video_08
129,1.534832115,1.140915279,0.1746761,0.723467347,0.4342465,video_08
,,,,,,
,1.262883619,0.809628329,0.136955746,0.773304561,0.796591038,
,0.409048911,0.616146673,0.152225651,0.260855579,0.185621993,
